PRS_ID,LABEL,WEB,EVENT_TYPE,EVENT_TIME,RESPONSE,SLMT,COMMAND,CLIENT_INFO,CLUBH,ERROR_CODE,USER_AGENT,PRS_ID
636329134,com.apple.securebackup.record,,,1451286232664,200,,GETRECORDS,"<iPhone7,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
216831060,com.apple.securebackup.record,,GET_SMS_TARGET_WITH_CLUBH_HASH,1451286232706,200,,GET_SMS_TARGETS,"<iPhone7,2> <iPhone OS;9.1;13B143> <com.apple.CloudServices/154.10.14>",f038820847130a3bfd1aa54c804f64b20927e96a8689d9aebb1b6204af6ccb4d,0,com.apple.lakitu/154.10.14 CFNetwork/758.1.6 Darwin/15.0.0,
1106807578,com.apple.securebackup.record,,,1451286232730,200,,GETRECORDS,"<iPhone7,2> <iPhone OS;9.1;13B143> <com.apple.CloudServices/154.10.14>",,0,com.apple.lakitu/154.10.14 CFNetwork/758.1.6 Darwin/15.0.0,
599485048,com.apple.securebackup.record,,,1451286232737,200,,GETRECORDS,"<iPhone8,2> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
89918600,com.apple.securebackup.record,,,1451286232737,200,,GETRECORDS,"<iPad3,4> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
1053281757,com.apple.securebackup.record,,,1451286232777,200,,GETRECORDS,"<iPhone4,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
595711701,com.apple.securebackup.record,,,1451286232780,200,,GETRECORDS,"<iPhone4,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
569441984,com.apple.securebackup.record,,,1451286232800,200,,GETRECORDS,"<iPad2,2> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
1061726955,com.apple.securebackup.record,,,1451286232807,200,,GETRECORDS,"<iPhone7,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
411548792,com.apple.securebackup.record,,GET_SMS_TARGET_WITH_CLUBH_HASH,1451286232842,200,,GET_SMS_TARGETS,"<iPhone7,2> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",9cf6e16d0cf8cef87be5fd5b158629fda343548d92de02b2d188a33060615d22,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
1330164686,com.apple.securebackup.record,,GET_SMS_TARGET_WITH_CLUBH_HASH,1451286232854,200,,GET_SMS_TARGETS,"<iPhone7,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",049f9d11e9e09109bb60664be035dbe0091949573aab4da9842f50d97b00fc8e,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
170359177,com.apple.securebackup.record,,,1451286232902,200,,GETRECORDS,"<iPod5,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
1016733888,com.apple.securebackup.record,,,1451286232921,200,,GETRECORDS,"<iPhone7,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
1038273255,com.apple.securebackup.record,,,1451286232954,200,,GETRECORDS,"<MacBookPro6,2> <Mac OS X;10.11.2;15C50> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/760.2.6 Darwin/15.2.0 (x86_64),
1233440496,com.apple.securebackup.record,,,1451286232993,200,,GETRECORDS,"<iPhone8,1> <iPhone OS;9.2;13C75> <com.apple.CloudServices/154.20.4>",,0,com.apple.lakitu/154.20.4 CFNetwork/758.2.8 Darwin/15.0.0,
